id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
601	Army dentists make a good drill corps.				drill	homographic	['dental tool', 'boring instrument', 'burr']	['military training', 'exercise', 'marching', 'practice']
602	Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion.				humerus	homophonic	['humorous', 'funny', 'amusing', 'comical', 'laughable']	['humerus', 'arm bone', 'brachium', 'upper arm bone']
603	Artificial knees and elbows were developed during a joint project.				joint	homographic	['collaborative', 'shared', 'combined', 'collective']	['anatomical connection', 'articulation', 'knee', 'elbow']
604	Artists are colorful people who draw on their emotions.				draw	homographic	['sketch', 'depict', 'illustrate', 'paint']	['extract', 'evoke', 'derive', 'pull']
605	Artists have to get into a good Frame of mind.				Frame	homographic	['structural case', 'border', 'enclosure for a picture']	['state of being', 'disposition', 'mood']
606	"As I put my car in reverse, I thought to myself... ""This takes me back."""				back	homographic	['backward', 'reverse', 'rearward']	['reminisce', 'recall', 'past', 'memory']
607	As I revived her using mouth to mouth resuscitation, in spite of my lisp, I couldn't help noticing her beautiful breaths!				breaths	homophonic	['respirations', 'exhalations', 'gasps']	['breasts', 'bosom', 'bust', 'chest']
608	As Sir Galahad lifted the sacred chalice, the bottom fell out. He had indeed found the holey Grail.				holey	homophonic	['holy', 'sacred', 'divine', 'blessed', 'consecrated']	['holey', 'porous', 'leaking', 'pierced', 'perforated']
609	As a fruit, oranges are very a-peeling.				a-peeling	homophonic	['peeling', 'skinning', 'shucking', 'unwrapping']	['appealing', 'attractive', 'charming', 'alluring']
610	"As anyone who has ever lived in the area can tell you, life is different in Montana. Since golf courses are often placed in areas ideal for hunting, most golfers carry a hunting rifle in their golf bag and when the opportunity presents itself combine their two favorite pastimes. Recently one such sportsman got lost and had to stop for directions asking,"" Which way to the lynx."""				lynx	homophonic	['links', 'golf course', 'fairway', 'playing field']	['lynx', 'wildcat', 'bobcat', 'predator']
